20220729_K562_1.C01.K562_s4U_0uM_180min	Bar1
20220729_K562_1.C02.K562_s4U_0uM_180min	Bar2
20220729_K562_1.C03.K562_s4U_0uM_180min	Bar4
20220729_K562_1.C04.K562_s4U_0uM_180min	Bar5
20220729_K562_1.C05.K562_s4U_0uM_180min	Bar6
20220729_K562_1.C06.K562_s4U_0uM_180min	Bar8
20220729_K562_1.C07.K562_s4U_0uM_180min	Bar9
20220729_K562_1.C08.K562_s4U_0uM_180min	Bar10
20220729_K562_1.C09.K562_s4U_0uM_180min	Bar11
20220729_K562_1.C10.K562_s4U_0uM_180min	Bar12
20220729_K562_1.C11.K562_s4U_0uM_180min	Bar13
20220729_K562_1.C12.K562_s4U_0uM_180min	Bar14
20220729_K562_1.C13.K562_s4U_0uM_180min	Bar16
20220729_K562_1.C14.K562_s4U_0uM_180min	Bar18
20220729_K562_1.C15.K562_s4U_0uM_180min	Bar19
20220729_K562_1.C16.K562_s4U_0uM_180min	Bar20
20220729_K562_1.C17.K562_s4U_0uM_180min	Bar21
20220729_K562_1.C18.K562_s4U_0uM_180min	Bar22
20220729_K562_1.C19.K562_s4U_0uM_180min	Bar23
20220729_K562_1.C20.K562_s4U_0uM_180min	Bar24
20220729_K562_1.C21.K562_s4U_0uM_180min	Bar25
20220729_K562_1.C22.K562_s4U_0uM_180min	Bar26
20220729_K562_1.C23.K562_s4U_0uM_180min	Bar27
20220729_K562_1.C24.K562_s4U_0uM_180min	Bar28
20220729_K562_1.C25.K562_s4U_0uM_180min	Bar29
20220729_K562_1.C26.K562_s4U_0uM_180min	Bar30
20220729_K562_1.C27.K562_s4U_0uM_180min	Bar31
20220729_K562_1.C28.K562_s4U_0uM_180min	Bar32
20220729_K562_1.C29.K562_s4U_0uM_180min	Bar34
20220729_K562_1.C30.K562_s4U_0uM_180min	Bar35
20220729_K562_1.C31.K562_s4U_0uM_180min	Bar36
20220729_K562_1.C32.K562_s4U_0uM_180min	Bar37
20220729_K562_1.C33.K562_s4U_0uM_180min	Bar38
20220729_K562_1.C34.K562_s4U_0uM_180min	Bar39
20220729_K562_1.C35.K562_s4U_0uM_180min	Bar40
20220729_K562_1.C36.K562_s4U_0uM_180min	Bar42
20220729_K562_1.C37.K562_s4U_0uM_180min	Bar43
20220729_K562_1.C38.K562_s4U_0uM_180min	Bar44
20220729_K562_1.C39.K562_s4U_0uM_180min	Bar45
20220729_K562_1.C40.K562_s4U_0uM_180min	Bar46
20220729_K562_1.C41.K562_s4U_0uM_180min	Bar47
20220729_K562_1.C42.K562_s4U_0uM_180min	Bar48
20220729_K562_1.C43.K562_s4U_50uM_180min	Bar51
20220729_K562_1.C44.K562_s4U_50uM_180min	Bar52
20220729_K562_1.C45.K562_s4U_50uM_180min	Bar53
20220729_K562_1.C46.K562_s4U_50uM_180min	Bar54
20220729_K562_1.C47.K562_s4U_50uM_180min	Bar55
20220729_K562_1.C48.K562_s4U_50uM_180min	Bar56
20220729_K562_1.C49.K562_s4U_50uM_180min	Bar57
20220729_K562_1.C50.K562_s4U_50uM_180min	Bar58
20220729_K562_1.C51.K562_s4U_50uM_180min	Bar59
20220729_K562_1.C52.K562_s4U_50uM_180min	Bar60
20220729_K562_1.C53.K562_s4U_50uM_180min	Bar61
20220729_K562_1.C54.K562_s4U_50uM_180min	Bar62
20220729_K562_1.C55.K562_s4U_50uM_180min	Bar63
20220729_K562_1.C56.K562_s4U_50uM_180min	Bar64
20220729_K562_1.C57.K562_s4U_50uM_180min	Bar66
20220729_K562_1.C58.K562_s4U_50uM_180min	Bar67
20220729_K562_1.C59.K562_s4U_50uM_180min	Bar68
20220729_K562_1.C60.K562_s4U_50uM_180min	Bar69
20220729_K562_1.C61.K562_s4U_50uM_180min	Bar70
20220729_K562_1.C62.K562_s4U_50uM_180min	Bar71
20220729_K562_1.C63.K562_s4U_50uM_180min	Bar72
20220729_K562_1.C64.K562_s4U_50uM_180min	Bar73
20220729_K562_1.C65.K562_s4U_50uM_180min	Bar75
20220729_K562_1.C66.K562_s4U_50uM_180min	Bar76
20220729_K562_1.C67.K562_s4U_50uM_180min	Bar78
20220729_K562_1.C68.K562_s4U_50uM_180min	Bar80
20220729_K562_1.C69.K562_s4U_50uM_180min	Bar81
20220729_K562_1.C70.K562_s4U_50uM_180min	Bar82
20220729_K562_1.C71.K562_s4U_50uM_180min	Bar83
20220729_K562_1.C72.K562_s4U_50uM_180min	Bar84
20220729_K562_1.C73.K562_s4U_50uM_180min	Bar85
20220729_K562_1.C74.K562_s4U_50uM_180min	Bar86
20220729_K562_1.C75.K562_s4U_50uM_180min	Bar87
20220729_K562_1.C76.K562_s4U_50uM_180min	Bar88
20220729_K562_1.C77.K562_s4U_50uM_180min	Bar89
20220729_K562_1.C78.K562_s4U_50uM_180min	Bar90
20220729_K562_1.C79.K562_s4U_50uM_180min	Bar91
20220729_K562_1.C80.K562_s4U_50uM_180min	Bar92
20220729_K562_1.C81.K562_s4U_50uM_180min	Bar93
20220729_K562_1.C82.K562_s4U_50uM_180min	Bar94
20220729_K562_1.C83.K562_s4U_50uM_180min	Bar95
20220729_K562_1.C84.K562_s4U_50uM_180min	Bar96
